od,od_time,fd,fd_time,td,td_time,omd,omd_time,fmd,fmd_time,tmd,tmd_time
0.181818,0.000002,0.181818,0.000001,0.181818,0.000008,0.181818,0.000006,0.181818,0.000001,0.181818,0.000005
0.345455,0.000004,0.345455,0.000001,0.345455,0.000009,0.345455,0.000004,0.345455,0.000002,0.345455,0.000005
0.436364,0.000005,0.436364,0.000001,0.436364,0.000009,0.490909,0.000005,0.490909,0.000001,0.490909,0.000005
0.509091,0.000004,0.509091,0.000001,0.509091,0.000007,0.580000,0.000005,0.580000,0.000002,0.580000,0.000004
0.545455,0.000004,0.545455,0.000000,0.545455,0.000010,0.627273,0.000006,0.627273,0.000001,0.627273,0.000004
0.545455,0.000004,0.545455,0.000000,0.545455,0.000010,0.623636,0.000007,0.623636,0.000001,0.623636,0.000007
0.563636,0.000005,0.563636,0.000001,0.563636,0.000009,0.563636,0.000005,0.563636,0.000001,0.563636,0.000007
0.472727,0.000005,0.472727,0.000002,0.472727,0.000006,0.472727,0.000005,0.472727,0.000001,0.472727,0.000008
0.345455,0.000003,0.345455,0.000002,0.345455,0.000008,0.345455,0.000005,0.345455,0.000002,0.345455,0.000011
0.181818,0.000002,0.181818,0.000000,0.181818,0.000008,0.181818,0.000006,0.181818,0.000002,0.181818,0.000012
0.327273,0.000003,0.327273,0.000000,0.327273,0.000008,0.587273,0.000007,0.587273,0.000000,0.587273,0.000007
