od,od_time,fd,fd_time,td,td_time,omd,omd_time,fmd,fmd_time,tmd,tmd_time
0.005479,0.001236,0.005479,0.000001,0.005479,0.000024,0.071511,0.012472,0.071511,0.000001,0.071834,0.000030
0.005479,0.001076,0.008641,0.000000,0.008641,0.000023,0.294669,0.013740,0.294668,0.000001,0.295556,0.000027
0.006262,0.001658,0.083246,0.000002,0.082628,0.000025,0.418314,0.015339,0.418314,0.000003,0.418213,0.000031
0.005479,0.002864,0.005479,0.000001,0.005479,0.000018,0.146278,0.012514,0.146278,0.000003,0.145725,0.000022
0.006292,0.001407,0.010763,0.000000,0.010763,0.000024,0.351975,0.014588,0.351968,0.000001,0.352243,0.000035
0.005886,0.002190,0.007436,0.000000,0.007045,0.000026,0.356168,0.015364,0.356168,0.000001,0.355964,0.000033
0.005750,0.002462,0.007376,0.000000,0.007346,0.000023,0.266247,0.014370,0.266247,0.000000,0.265381,0.000027
0.005660,0.001374,0.013834,0.000001,0.013277,0.000024,0.361654,0.015534,0.361482,0.000001,0.360947,0.000031
0.007150,0.002521,0.049435,0.000000,0.049435,0.000028,0.419689,0.015994,0.419586,0.000001,0.418829,0.000036
0.009288,0.002343,0.059326,0.000000,0.059326,0.000027,0.433935,0.016141,0.433762,0.000002,0.433947,0.000034
0.011365,0.002527,0.101821,0.000001,0.101821,0.000029,0.418075,0.015605,0.417936,0.000002,0.418673,0.000036
0.005540,0.002308,0.013066,0.000002,0.013066,0.000029,0.374765,0.016365,0.374600,0.000003,0.373954,0.000041
0.005479,0.001883,0.005479,0.000002,0.005479,0.000028,0.266107,0.014712,0.266107,0.000003,0.266309,0.000040
0.005510,0.001323,0.008611,0.000001,0.008611,0.000028,0.250854,0.014464,0.250685,0.000001,0.251304,0.000039
0.008866,0.002598,0.051543,0.000001,0.049857,0.000034,0.414510,0.015227,0.414389,0.000000,0.413526,0.000038
0.005765,0.001498,0.010176,0.000001,0.010176,0.000028,0.312511,0.015223,0.312511,0.000001,0.312464,0.000037
0.006307,0.002535,0.016017,0.000002,0.016017,0.000026,0.368011,0.015870,0.367729,0.000002,0.367764,0.000039
0.006443,0.002372,0.011802,0.000001,0.011802,0.000030,0.240089,0.015250,0.240089,0.000001,0.239665,0.000037
0.005479,0.002513,0.059250,0.000001,0.059250,0.000032,0.335270,0.015262,0.335044,0.000002,0.334842,0.000039
0.006051,0.001782,0.051468,0.000001,0.051468,0.000029,0.382822,0.015547,0.382770,0.000002,0.382374,0.000034
0.005495,0.001253,0.006082,0.000002,0.006021,0.000023,0.223207,0.014455,0.222891,0.000002,0.223601,0.000030
0.006172,0.001200,0.019449,0.000002,0.019449,0.000026,0.373594,0.015450,0.373293,0.000001,0.374466,0.000039
0.005600,0.001369,0.012946,0.000001,0.012013,0.000027,0.350201,0.015925,0.349832,0.000001,0.349159,0.000034
0.006292,0.002210,0.018215,0.000001,0.018215,0.000029,0.311544,0.015216,0.311393,0.000001,0.311611,0.000035
0.006669,0.002370,0.020021,0.000001,0.020021,0.000033,0.237064,0.015144,0.236727,0.000002,0.236532,0.000040
0.005479,0.002295,0.015460,0.000002,0.015415,0.000031,0.283109,0.015196,0.282932,0.000002,0.282504,0.000041
0.005510,0.001387,0.030649,0.000001,0.030649,0.000030,0.323158,0.015368,0.323015,0.000000,0.323915,0.000034
0.005479,0.001115,0.005796,0.000000,0.005690,0.000028,0.208820,0.014270,0.208270,0.000001,0.207796,0.000031
0.006458,0.001443,0.032576,0.000000,0.031823,0.000025,0.417101,0.015629,0.416839,0.000002,0.416890,0.000032
0.006322,0.001786,0.022791,0.000001,0.022791,0.000028,0.331779,0.015602,0.331508,0.000002,0.332407,0.000034
0.006187,0.002262,0.020247,0.000001,0.018486,0.000030,0.273867,0.015565,0.273480,0.000002,0.272657,0.000035
0.005525,0.002274,0.035616,0.000000,0.035616,0.000027,0.311689,0.015207,0.311352,0.000002,0.312080,0.000037
0.005479,0.002303,0.005479,0.000000,0.005479,0.000031,0.214752,0.014176,0.214752,0.000001,0.215071,0.000038
0.005479,0.001753,0.007286,0.000000,0.007286,0.000028,0.283220,0.014559,0.283220,0.000001,0.283006,0.000038
0.005479,0.001630,0.005555,0.000001,0.005555,0.000027,0.248008,0.014909,0.247844,0.000000,0.248029,0.000034
0.005630,0.001637,0.039410,0.000001,0.039410,0.000029,0.366228,0.015854,0.366042,0.000000,0.365342,0.000037
0.005660,0.001381,0.011621,0.000000,0.011019,0.000028,0.296350,0.016098,0.296138,0.000000,0.296194,0.000037
0.005479,0.002275,0.011742,0.000000,0.011742,0.000030,0.289306,0.015727,0.289139,0.000003,0.289801,0.000036
0.005479,0.002283,0.009815,0.000002,0.009815,0.000031,0.196191,0.014000,0.195624,0.000003,0.196816,0.000042
0.005479,0.002187,0.024898,0.000002,0.024898,0.000031,0.247061,0.014369,0.246968,0.000002,0.246352,0.000040
0.005479,0.001788,0.005479,0.000001,0.005479,0.000030,0.297038,0.014811,0.296736,0.000001,0.296228,0.000040
0.005479,0.001304,0.005570,0.000001,0.005570,0.000025,0.198854,0.014208,0.198463,0.000001,0.198588,0.000034
0.007557,0.001530,0.027337,0.000001,0.027337,0.000026,0.393020,0.015865,0.392597,0.000001,0.393087,0.000038
0.005479,0.001881,0.012073,0.000002,0.010899,0.000030,0.251476,0.014818,0.251298,0.000000,0.251774,0.000040
0.005495,0.002263,0.026103,0.000002,0.026103,0.000028,0.294848,0.015943,0.294413,0.000001,0.295979,0.000038
0.005479,0.002223,0.013744,0.000001,0.013744,0.000031,0.316039,0.015628,0.315846,0.000001,0.315430,0.000037
0.005495,0.002151,0.015324,0.000001,0.015324,0.000029,0.350383,0.015240,0.350233,0.000002,0.349261,0.000049
0.006067,0.001604,0.044769,0.000001,0.043866,0.000029,0.360830,0.015188,0.360271,0.000001,0.360824,0.000042
0.006744,0.001795,0.020066,0.000002,0.020066,0.000025,0.300396,0.014336,0.300396,0.000001,0.299987,0.000034
0.008490,0.002301,0.041728,0.000002,0.041728,0.000025,0.375209,0.014683,0.375209,0.000001,0.374819,0.000031
0.006458,0.001387,0.024989,0.000001,0.024507,0.000023,0.390133,0.015330,0.389907,0.000002,0.389662,0.000032
0.006789,0.002469,0.021587,0.000001,0.021587,0.000027,0.430316,0.016140,0.430195,0.000003,0.430876,0.000033
0.005479,0.002462,0.023288,0.000002,0.023288,0.000031,0.281706,0.014948,0.281694,0.000001,0.281496,0.000040
0.005479,0.002344,0.036791,0.000002,0.036791,0.000029,0.314496,0.016262,0.314086,0.000001,0.314688,0.000040
0.005479,0.001518,0.005479,0.000000,0.005479,0.000028,0.310682,0.015773,0.310483,0.000000,0.310541,0.000037
0.005479,0.001176,0.005931,0.000000,0.005901,0.000026,0.222563,0.014250,0.222539,0.000001,0.222177,0.000036
0.006067,0.001236,0.013307,0.000000,0.013307,0.000024,0.355465,0.015846,0.355097,0.000001,0.355235,0.000037
0.006699,0.001932,0.036038,0.000001,0.035165,0.000029,0.358816,0.016416,0.358760,0.000001,0.358402,0.000037
0.006262,0.002254,0.031823,0.000001,0.031823,0.000027,0.331256,0.015123,0.331107,0.000002,0.331145,0.000041
0.005479,0.002183,0.005479,0.000000,0.005479,0.000033,0.262585,0.014338,0.262217,0.000003,0.262363,0.000037
0.005479,0.001974,0.008882,0.000000,0.008851,0.000029,0.247018,0.015292,0.247018,0.000003,0.247476,0.000037
0.005479,0.002139,0.013202,0.000000,0.012344,0.000026,0.306571,0.014615,0.306315,0.000001,0.307056,0.000038
0.005479,0.001143,0.005976,0.000001,0.005976,0.000028,0.252976,0.014628,0.252976,0.000000,0.251948,0.000035
0.005479,0.001461,0.010763,0.000000,0.010763,0.000028,0.298401,0.015654,0.298327,0.000001,0.298632,0.000038
0.006172,0.001870,0.019299,0.000000,0.018486,0.000030,0.261471,0.014853,0.261294,0.000001,0.261206,0.000038
0.009709,0.002726,0.056390,0.000001,0.053711,0.000024,0.337755,0.014380,0.337190,0.000001,0.337504,0.000031
0.005479,0.001576,0.005976,0.000001,0.005976,0.000030,0.223542,0.014499,0.223362,0.000002,0.224077,0.000040
0.005479,0.001997,0.012494,0.000002,0.012494,0.000032,0.190886,0.014300,0.190886,0.000002,0.190405,0.000040
0.005479,0.001151,0.007060,0.000000,0.007060,0.000027,0.209644,0.013916,0.209644,0.000002,0.208529,0.000040
0.005479,0.001137,0.005479,0.000001,0.005479,0.000028,0.227288,0.014198,0.227288,0.000001,0.226475,0.000036
0.005479,0.001536,0.025847,0.000001,0.025847,0.000026,0.357670,0.015801,0.357488,0.000001,0.358532,0.000035
0.006202,0.001852,0.013096,0.000002,0.012931,0.000030,0.331705,0.015960,0.331239,0.000000,0.331243,0.000037
0.005479,0.002303,0.009273,0.000002,0.009273,0.000030,0.198189,0.014293,0.198189,0.000002,0.199427,0.000040
0.005479,0.002251,0.005479,0.000001,0.005479,0.000030,0.168799,0.014030,0.168763,0.000002,0.168597,0.000039
0.005479,0.001932,0.009122,0.000001,0.009092,0.000031,0.187373,0.014333,0.187353,0.000001,0.188355,0.000043
0.005976,0.001324,0.017673,0.000001,0.017673,0.000027,0.296161,0.014627,0.296091,0.000000,0.297633,0.000036
0.005570,0.001266,0.009815,0.000002,0.008641,0.000031,0.281443,0.014706,0.281254,0.000001,0.279286,0.000034
0.008219,0.001454,0.039922,0.000001,0.038597,0.000027,0.414785,0.015652,0.414196,0.000002,0.413468,0.000037
0.005479,0.001868,0.005479,0.000001,0.005479,0.000031,0.295069,0.014788,0.294792,0.000001,0.294157,0.000041
0.006322,0.002495,0.008114,0.000001,0.008114,0.000023,0.219314,0.012874,0.219314,0.000002,0.219402,0.000042
0.005660,0.001239,0.012856,0.000002,0.012856,0.000026,0.345092,0.015345,0.344874,0.000002,0.343629,0.000038
0.005479,0.001960,0.013247,0.000002,0.013202,0.000030,0.351956,0.015148,0.351600,0.000002,0.352762,0.000040
0.005479,0.001104,0.005479,0.000001,0.005479,0.000031,0.356960,0.015244,0.356899,0.000001,0.356147,0.000035
0.005479,0.001130,0.007587,0.000001,0.007587,0.000023,0.256642,0.014515,0.256477,0.000000,0.256700,0.000036
0.007376,0.001474,0.041713,0.000000,0.041277,0.000027,0.405096,0.015639,0.404923,0.000000,0.405364,0.000030
0.006232,0.002022,0.024146,0.000001,0.024146,0.000029,0.369285,0.015947,0.368807,0.000001,0.368008,0.000032
0.007632,0.002228,0.076471,0.000001,0.072527,0.000029,0.348397,0.016083,0.348313,0.000003,0.348352,0.000034
0.005479,0.002408,0.013924,0.000000,0.013879,0.000028,0.323825,0.014922,0.323779,0.000002,0.324079,0.000040
0.005479,0.002772,0.007271,0.000000,0.007271,0.000031,0.368888,0.015099,0.368888,0.000002,0.370116,0.000039
0.007180,0.002022,0.046048,0.000000,0.046048,0.000026,0.385650,0.015464,0.385576,0.000001,0.385266,0.000032
0.007180,0.001951,0.024266,0.000001,0.024266,0.000026,0.312523,0.014115,0.312351,0.000002,0.312199,0.000030
0.008671,0.001495,0.055156,0.000000,0.053169,0.000026,0.395346,0.015394,0.395133,0.000001,0.394618,0.000030
0.005479,0.001908,0.006443,0.000001,0.006443,0.000029,0.314966,0.014883,0.314426,0.000000,0.315075,0.000044
0.005675,0.002232,0.011983,0.000001,0.011983,0.000027,0.364367,0.015903,0.364160,0.000001,0.365805,0.000038
0.005479,0.002526,0.029053,0.000002,0.028782,0.000028,0.259606,0.014537,0.259529,0.000002,0.259672,0.000041
0.005479,0.002357,0.008415,0.000002,0.008415,0.000030,0.341901,0.015337,0.341901,0.000002,0.341770,0.000034
0.005510,0.001326,0.017673,0.000001,0.016318,0.000031,0.283527,0.014706,0.283279,0.000001,0.283856,0.000035
0.005479,0.001104,0.005886,0.000001,0.005871,0.000024,0.247875,0.014446,0.247612,0.000001,0.248202,0.000037
0.005886,0.001428,0.024447,0.000001,0.024447,0.000027,0.360744,0.015709,0.360612,0.000001,0.360733,0.000034
0.006036,0.001707,0.011983,0.000002,0.011983,0.000026,0.304340,0.015222,0.303913,0.000002,0.305047,0.000036
0.006804,0.002289,0.028602,0.000002,0.028361,0.000039,0.292385,0.015792,0.292326,0.000001,0.293638,0.000035
0.007090,0.002378,0.045702,0.000001,0.045702,0.000031,0.269941,0.014633,0.269304,0.000001,0.269672,0.000037
0.005479,0.002470,0.018185,0.000001,0.018185,0.000032,0.306128,0.014944,0.305784,0.000001,0.305042,0.000039
0.005479,0.001286,0.012479,0.000002,0.012479,0.000029,0.178885,0.013526,0.178827,0.000001,0.179227,0.000039
0.005479,0.001237,0.009333,0.000002,0.009333,0.000028,0.217265,0.014138,0.217050,0.000001,0.217845,0.000036
0.005479,0.001448,0.007888,0.000000,0.007888,0.000029,0.326149,0.015390,0.325948,0.000001,0.326876,0.000029
0.005841,0.001852,0.012118,0.000000,0.012118,0.000028,0.224145,0.014517,0.223675,0.000001,0.223624,0.000038
0.005525,0.002187,0.018726,0.000000,0.017071,0.000027,0.273606,0.015582,0.273606,0.000003,0.273826,0.000038
0.005479,0.002221,0.005479,0.000001,0.005479,0.000031,0.185960,0.013787,0.185960,0.000003,0.185201,0.000043
0.005479,0.001964,0.005479,0.000001,0.005479,0.000030,0.209474,0.013869,0.208995,0.000002,0.209045,0.000042
0.005479,0.001247,0.019931,0.000000,0.019931,0.000029,0.326101,0.014886,0.325500,0.000001,0.325665,0.000040
0.005479,0.001180,0.009634,0.000000,0.009634,0.000028,0.301914,0.014548,0.301702,0.000000,0.303375,0.000030
0.005479,0.001516,0.017402,0.000000,0.017131,0.000027,0.379137,0.015801,0.378896,0.000001,0.379328,0.000034
0.006067,0.001743,0.008851,0.000002,0.008851,0.000028,0.301175,0.015186,0.300672,0.000001,0.302188,0.000039
0.005479,0.002127,0.005479,0.000001,0.005479,0.000028,0.269415,0.014410,0.269125,0.000001,0.269228,0.000037
0.005479,0.002109,0.028496,0.000001,0.028496,0.000029,0.258006,0.014205,0.257733,0.000002,0.258606,0.000040
0.005495,0.001932,0.025982,0.000001,0.025802,0.000031,0.283830,0.014476,0.283668,0.000003,0.284461,0.000039
0.005479,0.001754,0.011200,0.000002,0.011200,0.000030,0.293673,0.014665,0.293479,0.000002,0.293521,0.000040
0.005600,0.001362,0.013066,0.000002,0.012886,0.000025,0.299135,0.014722,0.299135,0.000001,0.298874,0.000033
0.005479,0.001559,0.010432,0.000001,0.010432,0.000028,0.334419,0.015687,0.334214,0.000001,0.334647,0.000035
0.006383,0.001738,0.020352,0.000001,0.020352,0.000028,0.340624,0.016342,0.340486,0.000000,0.340808,0.000038
0.006503,0.002369,0.045522,0.000001,0.045522,0.000026,0.294447,0.015395,0.294346,0.000002,0.295890,0.000039
0.005479,0.002294,0.008264,0.000002,0.008249,0.000033,0.237561,0.014775,0.237536,0.000001,0.238216,0.000039
0.005479,0.001909,0.030664,0.000002,0.030558,0.000031,0.286795,0.014413,0.286565,0.000001,0.287516,0.000043
0.005479,0.001656,0.014782,0.000001,0.014602,0.000028,0.247864,0.014100,0.247781,0.000000,0.246689,0.000038
0.005570,0.001314,0.010221,0.000001,0.010221,0.000029,0.284442,0.014710,0.284117,0.000002,0.283095,0.000037
0.007662,0.001457,0.037513,0.000001,0.037513,0.000026,0.395133,0.015871,0.394929,0.000002,0.395960,0.000035
0.007753,0.002150,0.056164,0.000002,0.056164,0.000028,0.343282,0.016151,0.342446,0.000001,0.342675,0.000035
0.006759,0.002654,0.029189,0.000002,0.028963,0.000030,0.337785,0.015116,0.337720,0.000002,0.337342,0.000036
0.005479,0.002771,0.021737,0.000001,0.021737,0.000031,0.282481,0.014645,0.282481,0.000003,0.283054,0.000041
0.005479,0.002438,0.047027,0.000001,0.044257,0.000030,0.355695,0.015345,0.355155,0.000002,0.355107,0.000038
0.005479,0.001579,0.005479,0.000002,0.005479,0.000028,0.276771,0.014814,0.276771,0.000000,0.277774,0.000038
0.005479,0.002121,0.005479,0.000002,0.005479,0.000027,0.289456,0.014453,0.289312,0.000000,0.290783,0.000035
0.005660,0.001532,0.012524,0.000000,0.012524,0.000028,0.364138,0.015565,0.363843,0.000000,0.363856,0.000034
0.005826,0.002629,0.039621,0.000000,0.038988,0.000027,0.342991,0.015055,0.342813,0.000001,0.341764,0.000040
0.005479,0.002718,0.008039,0.000000,0.007978,0.000031,0.308123,0.015092,0.307933,0.000002,0.307835,0.000041
0.005479,0.002643,0.011561,0.000001,0.011471,0.000028,0.295811,0.014598,0.295751,0.000002,0.295553,0.000039
0.005495,0.002239,0.009845,0.000001,0.009845,0.000030,0.318856,0.015164,0.318682,0.000002,0.319504,0.000037
0.005479,0.001434,0.007135,0.000000,0.007135,0.000029,0.300575,0.015116,0.300220,0.000002,0.299885,0.000035
0.005479,0.001636,0.013909,0.000000,0.013909,0.000026,0.315345,0.014750,0.315321,0.000002,0.315924,0.000034
0.007813,0.001999,0.083667,0.000000,0.083667,0.000025,0.444819,0.015701,0.444640,0.000000,0.444362,0.000035
0.006127,0.002252,0.023363,0.000001,0.023363,0.000026,0.382689,0.016161,0.382372,0.000000,0.382849,0.000037
0.006232,0.002788,0.032937,0.000000,0.032455,0.000032,0.418587,0.016185,0.418587,0.000001,0.418798,0.000034
0.008370,0.002679,0.081484,0.000001,0.079994,0.000029,0.427964,0.015732,0.427818,0.000002,0.428292,0.000034
0.009499,0.002187,0.064203,0.000001,0.064203,0.000028,0.443885,0.015169,0.443378,0.000001,0.444187,0.000032
0.011877,0.002182,0.045943,0.000002,0.045461,0.000024,0.291861,0.013865,0.291483,0.000001,0.291584,0.000029
0.006112,0.001819,0.010899,0.000002,0.010899,0.000017,0.166260,0.012723,0.166243,0.000001,0.166709,0.000029
0.006518,0.001880,0.010944,0.000001,0.010944,0.000023,0.169729,0.012722,0.169636,0.000002,0.169959,0.000032
0.005961,0.001104,0.007617,0.000001,0.007617,0.000027,0.382943,0.015834,0.382806,0.000002,0.382575,0.000035
